var_x,err_gp_lam40,err_gp_lam100,err_softmin_knn100,err_softmin_knn50,err_softmin_knn10
0.0001,0.08177168783834031,0.04262099590856897,0.052554268151359794,0.030299923209464546,0.004013688029667776
0.0002,0.06818282561931593,0.04103733317428789,0.05167024747208264,0.029392426371033006,0.006820167667957413
0.0005,0.047789787499807244,0.04325206540261293,0.04908954305672584,0.026740214116372233,0.014000633204785945
0.001,0.05607125175959267,0.050965163513074715,0.04488141321688143,0.022426000153324258,0.023768461405950698
0.002,0.05339309758037824,0.056997558480363454,0.03663483934454814,0.015099425330355203,0.03947061384502106
0.005,0.07495308592978524,0.06670591645623573,0.01858164342019395,0.022651387788696607,0.07452192495470142
0.01,0.09958662736267032,0.08527961556496898,0.03989097030406881,0.056464404064317845,0.11763075998795613
0.02,0.12475861384583482,0.10366922264621117,0.10523815017862179,0.11971798736469873,0.18137830459441748
0.05,0.1706345795605175,0.1351554101494726,0.24805063934692426,0.25526529454419,0.30294857526604824
0.1,0.20313291323445526,0.1579736196989206,0.3749117480775143,0.37794158194477695,0.4115055257058601
